500;39.085591
1000;38.417370
1500;35.542907
2000;35.683582
2500;35.980962
3000;35.815808
3500;35.838610
4000;35.870042
4500;35.996694
5000;36.038111
5500;36.037271
6000;36.097852
6500;36.111397
7000;36.112123
7500;36.226365
8000;36.251721
8500;36.261689
9000;36.295517
9500;36.343173
10000;36.409743
10500;36.418266
11000;36.520940
11500;36.532037
12000;36.552012
12500;36.590875
13000;36.641037
13500;37.548437
14000;36.694209
14500;36.799195
15000;36.827058
15500;36.853061
16000;36.876782
16500;36.910285
17000;36.938346
17500;36.970518
18000;36.966432
18500;37.022486
19000;37.063843
19500;37.090568
20000;37.105399
20500;37.154491
21000;37.219445
21500;37.231506
22000;37.322135
22500;37.334997
23000;37.334659
23500;37.400858
24000;37.419998
24500;37.488077
25000;37.507824
