500;0.640399
1000;2.602642
1500;5.761536
2000;10.134725
2500;15.795591
3000;22.782994
3500;31.011775
4000;40.499906
4500;51.238775
5000;63.290911
5500;76.536227
6000;91.098268
6500;106.682571
7000;123.696716
7500;141.974665
8000;161.557082
8500;182.407097
9000;203.390349
9500;226.091278
10000;250.521036
10500;275.781787
11000;302.811170
11500;331.067865
12000;360.621345
12500;391.415526
13000;422.682911
13500;456.305241
14000;490.916993
14500;526.657825
15000;563.244839
15500;601.742646
16000;641.264855
16500;681.416661
17000;723.802722
17500;767.049983
18000;811.606080
18500;857.326375
19000;904.091606
19500;952.460707
20000;1001.732998
20500;1052.036235
21000;1104.179494
21500;1157.005751
22000;1211.979638
22500;1267.670622
23000;1333.690517
23500;1395.113886
24000;1449.907922
24500;1502.411894
25000;1564.430497
