500;0.497776
1000;1.900619
1500;4.352895
2000;7.829560
2500;11.985544
3000;17.240703
3500;23.897339
4000;31.336484
4500;39.198850
5000;49.700195
5500;60.825402
6000;72.662928
6500;86.325527
7000;100.830728
7500;116.646743
8000;133.713048
8500;153.037943
9000;172.710031
9500;194.522398
10000;217.521770
10500;242.254074
11000;267.750302
11500;294.890968
12000;323.634564
12500;353.270448
13000;385.783876
13500;421.243531
14000;452.210533
14500;490.518011
15000;531.004035
15500;570.452321
16000;609.270543
16500;657.465426
17000;698.917783
17500;746.767596
18000;794.758409
18500;845.618906
19000;895.302809
19500;945.179662
20000;1000.979639
20500;1061.918976
21000;1117.564286
21500;1177.284031
22000;1239.238299
22500;1302.075520
23000;1366.083361
23500;1428.746556
24000;1495.975184
24500;1571.977378
25000;1633.564738
