500;0.032786
1000;0.087101
1500;0.147850
2000;0.209583
2500;0.271635
3000;0.332155
3500;0.404678
4000;0.462791
4500;0.538047
5000;0.590710
5500;0.790191
6000;0.730263
6500;0.798697
7000;0.868000
7500;0.935238
8000;1.062568
8500;1.066549
9000;1.133434
9500;1.206636
10000;1.298839
10500;1.340014
11000;1.415131
11500;1.495923
12000;1.556836
12500;1.617533
13000;1.700011
13500;1.761668
14000;1.832951
14500;1.890999
15000;1.960552
15500;2.030509
16000;2.107338
16500;2.164899
17000;2.244795
17500;2.312990
18000;2.391217
18500;2.454942
19000;2.532306
19500;2.602770
20000;2.676144
20500;2.748867
21000;2.823921
21500;2.899561
22000;2.968711
22500;3.043702
23000;3.119876
23500;3.187266
24000;3.263468
24500;3.343369
25000;3.412536
