500;0.011636
1000;0.021659
1500;0.035578
2000;0.047557
2500;0.061341
3000;0.076256
3500;0.092955
4000;0.110720
4500;0.119659
5000;0.131940
5500;0.141129
6000;0.152485
6500;0.167010
7000;0.181760
7500;0.204873
8000;0.208879
8500;0.239442
9000;0.250575
9500;0.275947
10000;0.282174
10500;0.296914
11000;0.313332
11500;0.330966
12000;0.347678
12500;0.378484
13000;0.384216
13500;0.400677
14000;0.422060
14500;0.442236
15000;0.471782
15500;0.478137
16000;0.487851
16500;0.511832
17000;0.528181
17500;0.544772
18000;0.563387
18500;0.585781
19000;0.608161
19500;0.622675
20000;0.640448
20500;0.653129
21000;0.681446
21500;0.701121
22000;0.718554
22500;0.816138
23000;0.817764
23500;0.839820
24000;0.845494
24500;0.871604
25000;0.869816
