500;0.516605
1000;1.987938
1500;4.351643
2000;7.599967
2500;11.950228
3000;17.391914
3500;23.498417
4000;30.728810
4500;39.565593
5000;49.116364
5500;59.811856
6000;71.774412
6500;84.995936
7000;99.364662
7500;115.164191
8000;132.659439
8500;150.619251
9000;170.710228
9500;193.569421
10000;214.359339
10500;237.558479
11000;264.354051
11500;289.658597
12000;315.934437
12500;347.824827
13000;379.209678
13500;411.756092
14000;445.946540
14500;480.702326
15000;522.720728
15500;566.378430
16000;599.181213
16500;645.527282
17000;688.764447
17500;733.372629
18000;782.267368
18500;826.963126
19000;882.885950
19500;934.310882
20000;984.827187
20500;1043.353457
21000;1100.005945
21500;1164.645756
22000;1231.241281
22500;1296.776016
23000;1361.192167
23500;1427.170998
24000;1485.713907
24500;1545.611601
25000;1619.938650
